store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_00001,2026-03-03T10:15:00Z,1240.00
STORE_BLR_002,TXN_00002,2026-03-03T10:32:00Z,680.00
STORE_BLR_002,TXN_00003,2026-03-03T10:48:00Z,2100.00
STORE_BLR_002,TXN_00004,2026-03-03T11:05:00Z,450.00
STORE_BLR_002,TXN_00005,2026-03-03T11:22:00Z,3200.00
STORE_BLR_002,TXN_00006,2026-03-03T11:40:00Z,890.00
STORE_BLR_002,TXN_00007,2026-03-03T12:10:00Z,1560.00
STORE_BLR_002,TXN_00008,2026-03-03T12:35:00Z,720.00
STORE_BLR_002,TXN_00009,2026-03-03T13:00:00Z,4100.00
STORE_BLR_002,TXN_00010,2026-03-03T13:28:00Z,990.00
STORE_BLR_002,TXN_00011,2026-03-03T14:05:00Z,1800.00
STORE_BLR_002,TXN_00012,2026-03-03T14:38:00Z,1240.00
STORE_BLR_002,TXN_00013,2026-03-03T14:41:00Z,680.00
STORE_BLR_002,TXN_00014,2026-03-03T15:10:00Z,2750.00
STORE_BLR_002,TXN_00015,2026-03-03T15:45:00Z,530.00
STORE_BLR_002,TXN_00016,2026-03-03T16:20:00Z,1990.00
STORE_BLR_002,TXN_00017,2026-03-03T16:55:00Z,860.00
STORE_BLR_002,TXN_00018,2026-03-03T17:30:00Z,3400.00
STORE_BLR_002,TXN_00019,2026-03-03T18:05:00Z,1100.00
STORE_BLR_002,TXN_00020,2026-03-03T18:40:00Z,2200.00
